w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,region,blame,right,2,,,,,,,,,,,,,1,40,120,35,,,,,,,,,,,,,,,,,,,,,,,,,None,229.06560209800955,None,,,,,,,228.32196735001344,None,228.32196735001344,None,right,1,0.7420489489886677,228.32196735001344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,mgstachi,forest,left,4,,,,,,,,,,,,,1,41,121,74,,,,,,,,,,,,,,,,,,,,,,,,,None,230.4282492850034,None,,,,,,,229.56974186800653,None,229.56974186800653,None,left,1,0.8569147630041698,229.56974186800653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,magazine,book,right,1,,,,,,,,,,,,,1,42,122,10,,,,,,,,,,,,,,,,,,,,,,,,,None,231.63195518701104,None,,,,,,,230.93263841001317,None,230.93263841001317,None,right,1,0.6978036800137488,230.93263841001317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,frugtry,cheat,left,4,,,,,,,,,,,,,1,43,123,70,,,,,,,,,,,,,,,,,,,,,,,,,None,233.18906359100947,None,,,,,,,232.13639116400736,None,232.13639116400736,None,left,1,1.0512282220006455,232.13639116400736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,ltbster,lecter,left,3,,,,,,,,,,,,,1,44,124,41,,,,,,,,,,,,,,,,,,,,,,,,,None,234.96020060201408,None,,,,,,,233.69268873200053,None,233.69268873200053,None,left,1,1.266078568994999,233.69268873200053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,riject,farm,left,4,,,,,,,,,,,,,1,45,125,66,,,,,,,,,,,,,,,,,,,,,,,,,None,236.91988350001338,None,,,,,,,235.4688828770013,None,235.4688828770013,None,right,0,1.4495711339986883,235.4688828770013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,entertain,begin,right,2,,,,,,,,,,,,,1,46,126,31,,,,,,,,,,,,,,,,,,,,,,,,,None,238.3920655180118,None,,,,,,,237.42315953400976,None,237.42315953400976,None,right,1,0.9674828689894639,237.42315953400976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,suggest,ballet,right,2,,,,,,,,,,,,,1,47,127,26,,,,,,,,,,,,,,,,,,,,,,,,,None,239.86839665099978,None,,,,,,,238.89510763600993,None,238.89510763600993,None,right,1,0.9718481690069893,238.89510763600993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,ocbohus,bitch,left,4,,,,,,,,,,,,,1,48,128,72,,,,,,,,,,,,,,,,,,,,,,,,,None,241.27657269200427,None,,,,,,,240.37192360100744,None,240.37192360100744,None,left,1,0.9032050520036137,240.37192360100744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
,,,,adverb,backpack,right,2,,,,,,,,,,,,,1,49,129,25,,,,,,,,,,,,,,,,,,,,,,,,,None,242.3869956250128,None,,,,,,,241.7802336080058,None,241.7802336080058,None,left,0,0.6052998160012066,241.7802336080058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,f,2021_Apr_09_2041,ldt_en_hi,2021.1.3,1420.7181065252626,
