w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,restresp.rt,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,displfow,pcycce,left,3,,,,,,,,,,,,,0,67,67,51,,,,,,,,,,,,,,,,,,,,,,,,,None,273.74998696699913,None,,,,,,,272.81975376400806,None,272.81975376400806,None,left,1,0.9286764299904462,272.81975376400806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,octopus,arms,right,1,,,,,,,,,,,,,0,68,68,4,,,,,,,,,,,,,,,,,,,,,,,,,None,276.17920565701206,None,,,,,,,274.25338363301125,None,274.25338363301125,None,right,1,1.9242833239986794,274.25338363301125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,continent,africa,right,1,,,,,,,,,,,,,0,69,69,2,,,,,,,,,,,,,,,,,,,,,,,,,None,277.4465645910095,None,,,,,,,276.683262231003,None,276.683262231003,None,right,1,0.7617584399995394,276.683262231003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,region,blame,right,2,,,,,,,,,,,,,0,70,70,35,,,,,,,,,,,,,,,,,,,,,,,,,None,278.4638688220002,None,,,,,,,277.9501112450089,None,277.9501112450089,None,right,1,0.5122475459938869,277.9501112450089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,entertain,begin,right,2,,,,,,,,,,,,,0,71,71,31,,,,,,,,,,,,,,,,,,,,,,,,,None,279.48126855600276,None,,,,,,,278.9673508039996,None,278.9673508039996,None,right,1,0.5123768799967365,278.9673508039996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,awareness,base,right,2,,,,,,,,,,,,,0,72,72,28,,,,,,,,,,,,,,,,,,,,,,,,,None,280.7156207560038,None,,,,,,,279.98508043499896,None,279.98508043499896,None,right,1,0.7289803430030588,279.98508043499896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,buws,decide,left,4,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,None,281.74164158600615,None,,,,,,,281.218818733003,None,281.218818733003,None,right,0,0.5212683290010318,281.218818733003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,mustache,beard,right,1,,,,,,,,,,,,,0,74,74,6,,,,,,,,,,,,,,,,,,,,,,,,,None,283.22983761700743,None,,,,,,,282.2451703270053,None,282.2451703270053,None,right,1,0.9831140760070411,282.2451703270053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,disown,atom,right,2,,,,,,,,,,,,,0,75,75,21,,,,,,,,,,,,,,,,,,,,,,,,,None,284.5187454310071,None,,,,,,,283.73329041100806,None,283.73329041100806,None,right,1,0.7839031189942034,283.73329041100806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,fury,beginner,right,2,,,,,,,,,,,,,0,76,76,32,,,,,,,,,,,,,,,,,,,,,,,,,None,285.6984475000063,None,,,,,,,285.0226703189983,None,285.0226703189983,None,right,1,0.6742224160116166,285.0226703189983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,actor,axe,right,2,,,,,,,,,,,,,0,77,77,24,,,,,,,,,,,,,,,,,,,,,,,,,None,286.7314411719999,None,,,,,,,286.2018798430072,None,286.2018798430072,None,right,1,0.5280158399982611,286.2018798430072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,perigrm,unswir,left,3,,,,,,,,,,,,,0,78,78,45,,,,,,,,,,,,,,,,,,,,,,,,,None,289.99020753199875,None,,,,,,,287.2347809350031,None,287.2347809350031,None,right,0,2.7538721519958926,287.2347809350031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,capmpiwity,nney,left,3,,,,,,,,,,,,,0,79,79,44,,,,,,,,,,,,,,,,,,,,,,,,,None,291.26518332400883,None,,,,,,,290.49356952600647,None,290.49356952600647,None,left,1,0.7697636160010006,290.49356952600647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,exdlavstion,cloth,left,4,,,,,,,,,,,,,1,0,80,71,,,,,,,,,,,,,,,,,,,,,,,,,None,292.90572203601187,None,,,,,,,291.7685601539997,None,291.7685601539997,None,left,1,1.1356148649938405,291.7685601539997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,quantyta,berid,left,3,,,,,,,,,,,,,1,1,81,52,,,,,,,,,,,,,,,,,,,,,,,,,None,294.38508365101006,None,,,,,,,293.4093156940071,None,293.4093156940071,None,left,1,0.9742095889960183,293.4093156940071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
,,,,inventor,leab,left,5,,,,,,,,,,,,,1,2,82,54,,,,,,,,,,,,,,,,,,,,,,,,,None,296.84783225400315,None,,,,,,,294.88863886200124,None,294.88863886200124,None,right,0,1.9576201070012758,294.88863886200124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,M,2021_Apr_09_1755,ldt_en_hi,2021.1.3,1021.5750509267291,
