w_word1,w_word2,w_corrAns,w_category,word1,word2,corrAns,category,w_hword1,w_hword2,w_hcorrAns,w_hcategory,hword1,hword2,hcorrAns,hcategory,enwarmuptrials.thisRepN,enwarmuptrials.thisTrialN,enwarmuptrials.thisN,enwarmuptrials.thisIndex,en_trials.thisRepN,en_trials.thisTrialN,en_trials.thisN,en_trials.thisIndex,hiwarmuptrials.thisRepN,hiwarmuptrials.thisTrialN,hiwarmuptrials.thisN,hiwarmuptrials.thisIndex,hi_trials.thisRepN,hi_trials.thisTrialN,hi_trials.thisN,hi_trials.thisIndex,eninstrstim.started,eninstrstim.stopped,enkbinstr.keys,enkbinstr.corr,enkbinstr.rt,enkbinstr.started,enkbinstr.stopped,enwarmupw1.started,enwarmupw1.stopped,enwarmupw2.started,enwarmupw2.stopped,enwarmupkb.keys,enwarmupkb.corr,enwarmupkb.rt,enwarmupkb.started,enwarmupkb.stopped,restresp.keys,restresp.started,restresp.stopped,startexpprompt.started,startexpprompt.stopped,startexpkbresp.keys,startexpkbresp.rt,startexpkbresp.started,startexpkbresp.stopped,entrialw1.started,entrialw1.stopped,entrialw2.started,entrialw2.stopped,enkbresp.keys,enkbresp.corr,enkbresp.rt,enkbresp.started,enkbresp.stopped,hiinstrstim.started,hiinstrstim.stopped,hikbinstr.keys,hikbinstr.corr,hikbinstr.rt,hikbinstr.started,hikbinstr.stopped,hiwarmupw1.started,hiwarmupw1.stopped,hiwarmupw2.started,hiwarmupw2.stopped,hiwarmupkb.keys,hiwarmupkb.corr,hiwarmupkb.rt,hiwarmupkb.started,hiwarmupkb.stopped,hitrialw1.started,hitrialw1.stopped,hitrialw2.started,hitrialw2.stopped,hikbresp.keys,hikbresp.corr,hikbresp.rt,hikbresp.started,hikbresp.stopped,hiskill.text,hiskill.started,hiskill.stopped,hirespskill.keys,hirespskill.rt,hirespskill.started,hirespskill.stopped,enskill_2.text,enskill_2.started,enskill_2.stopped,enrespskill_2.keys,enrespskill_2.rt,enrespskill_2.started,enrespskill_2.stopped,thankstext.started,thankstext.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,mute,bygknner,left,5,,,,,,,,,,,,,1,5,85,65,,,,,,,,,,,,,,,,,,,,,,,,,None,196.01238382799784,None,,,,,,,194.6837797240005,None,194.6837797240005,None,left,1,1.3267636389937252,194.6837797240005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,quantyta,berid,left,3,,,,,,,,,,,,,1,6,86,52,,,,,,,,,,,,,,,,,,,,,,,,,None,197.51835553100682,None,,,,,,,196.51633512800618,None,196.51633512800618,None,left,1,1.0003773659991566,196.51633512800618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,contreqt,bcer,left,3,,,,,,,,,,,,,1,7,87,49,,,,,,,,,,,,,,,,,,,,,,,,,None,198.70179822199862,None,,,,,,,198.02251877299568,None,198.02251877299568,None,left,1,0.6776297989999875,198.02251877299568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,disown,atom,right,2,,,,,,,,,,,,,1,8,88,21,,,,,,,,,,,,,,,,,,,,,,,,,None,200.12961979600368,None,,,,,,,199.20585215800384,None,199.20585215800384,None,right,1,0.9221845599968219,199.20585215800384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,octopus,arms,right,1,,,,,,,,,,,,,1,9,89,4,,,,,,,,,,,,,,,,,,,,,,,,,None,201.58746901899576,None,,,,,,,200.63397053300287,None,200.63397053300287,None,right,1,0.951887543007615,200.63397053300287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,kitchen,cook,right,1,,,,,,,,,,,,,1,10,90,17,,,,,,,,,,,,,,,,,,,,,,,,,None,202.71230512599868,None,,,,,,,202.0915994100069,None,202.0915994100069,None,right,1,0.6190649780037347,202.0915994100069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,antidote,averake,left,5,,,,,,,,,,,,,1,11,91,58,,,,,,,,,,,,,,,,,,,,,,,,,None,204.11356664499908,None,,,,,,,203.21652667599847,None,203.21652667599847,None,right,0,0.8954603070014855,203.21652667599847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,policeman,cop,right,1,,,,,,,,,,,,,1,12,92,18,,,,,,,,,,,,,,,,,,,,,,,,,None,205.41678209000384,None,,,,,,,204.61778129999584,None,204.61778129999584,None,right,1,0.7973694760003127,204.61778129999584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,ltbster,lecter,left,3,,,,,,,,,,,,,1,13,93,41,,,,,,,,,,,,,,,,,,,,,,,,,None,206.93010157400568,None,,,,,,,205.92065547899983,None,205.92065547899983,None,left,1,1.0078030950098764,205.92065547899983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,region,blame,right,2,,,,,,,,,,,,,1,14,94,35,,,,,,,,,,,,,,,,,,,,,,,,,None,209.26600034799776,None,,,,,,,207.43413750499894,None,207.43413750499894,None,right,1,1.8300266989972442,207.43413750499894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,data,beaufifsl,left,5,,,,,,,,,,,,,1,15,95,63,,,,,,,,,,,,,,,,,,,,,,,,,None,210.53875576300197,None,,,,,,,209.769847714997,None,209.769847714997,None,right,0,0.7673129339964362,209.769847714997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,bow,arrow,right,1,,,,,,,,,,,,,1,16,96,5,,,,,,,,,,,,,,,,,,,,,,,,,None,211.98303686500003,None,,,,,,,211.04302666900912,None,211.04302666900912,None,right,1,0.9383794930035947,211.04302666900912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,lobster,crab,right,1,,,,,,,,,,,,,1,17,97,19,,,,,,,,,,,,,,,,,,,,,,,,,None,213.36961986399547,None,,,,,,,212.48672179500863,None,212.48672179500863,None,right,1,0.8812627959996462,212.48672179500863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,ucter,arks,left,3,,,,,,,,,,,,,1,18,98,46,,,,,,,,,,,,,,,,,,,,,,,,,None,214.89190057999804,None,,,,,,,213.87390296600643,None,213.87390296600643,None,left,1,1.0163558180065593,213.87390296600643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,actress,actor,right,1,,,,,,,,,,,,,1,19,99,0,,,,,,,,,,,,,,,,,,,,,,,,,None,216.07840239899815,None,,,,,,,215.395954135005,None,215.395954135005,None,right,1,0.6808077260066057,215.395954135005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,capmpiwity,nney,left,3,,,,,,,,,,,,,1,20,100,44,,,,,,,,,,,,,,,,,,,,,,,,,None,217.2866782390047,None,,,,,,,216.58266548800748,None,216.58266548800748,None,left,1,0.7023977490025572,216.58266548800748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
,,,,stpactin,fear,left,4,,,,,,,,,,,,,1,21,101,68,,,,,,,,,,,,,,,,,,,,,,,,,None,218.96703711700684,None,,,,,,,217.7905447929952,None,217.7905447929952,None,left,1,1.1748944930004654,217.7905447929952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,m,2021_Apr_09_1744,ldt_en_hi,2021.1.3,1308.2813157965136,
